,,Total,Avon and Somerset,Bedfordshire,Cambridgeshire,Cheshire,City of London,Cleveland,Cumbria,Derbyshire,Devon and Cornwall,Dorset,Durham,Dyfed Powys,Essex,Gloucestershire,Greater Manchester,Gwent,Hampshire,Hertfordshire,Humberside,Kent,Lancashire,Leicestershire,Lincolnshire,London Met.,Merseyside,Norfolk,North Wales,North Yorkshire,Northamptonshire,Northumbria,Nottinghamshire,South Wales,South Yorkshire,Staffordshire,Suffolk,Surrey,Sussex,Thames Valley,Warwickshire,West Mercia,West Midlands,West Yorkshire,Wiltshire
,Other,1%,-,-,-,-,29%,-,1%,-,-,1%,1%,6%,3%,1%,1%,1%,-,-,1%,1%,1%,-,-,*,1%,1%,-,1%,-,1%,1%,2%,-,1%,-,2%,-,2%,1%,1%,*,-,3%
,Don't know,3%,1%,2%,3%,1%,-,4%,3%,2%,5%,1%,4%,3%,1%,1%,3%,1%,1%,1%,-,6%,2%,4%,1%,3%,3%,2%,1%,3%,3%,1%,5%,1%,2%,2%,-,2%,3%,1%,4%,4%,3%,4%,5%
,No answer,*,-,1%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,*,-,-,-,-,-,-,-,-,1%,-,-,-,-,-,-,-,-,-,-

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
Q.7.,"Taking everything into account, would you say the police in your area do a good job or a poor job?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Very good,25%,35%,17%,27%,31%,57%,39%,32%,27%,25%,31%,32%,29%,15%,19%,20%,19%,33%,23%,19%,23%,25%,25%,17%,21%,33%,31%,27%,21%,33%,38%,21%,16%,21%,37%,30%,26%,30%,35%,25%,24%,22%,21%,25%
,Fairly good,44%,42%,46%,54%,51%,29%,40%,42%,45%,50%,43%,34%,44%,52%,43%,43%,51%,41%,45%,52%,41%,48%,49%,51%,39%,32%,52%,44%,50%,43%,42%,40%,48%,46%,42%,47%,50%,50%,43%,28%,42%,42%,48%,34%
,Fairly poor,16%,13%,22%,12%,8%,-,8%,13%,10%,13%,13%,18%,14%,15%,24%,17%,19%,12%,17%,16%,18%,18%,17%,19%,18%,16%,11%,15%,23%,9%,11%,24%,19%,19%,11%,12%,12%,13%,9%,24%,13%,19%,19%,17%
,Very poor,11%,8%,13%,4%,7%,14%,10%,9%,15%,7%,9%,12%,11%,11%,8%,15%,10%,10%,12%,12%,14%,3%,5%,8%,15%,13%,2%,11%,4%,12%,7%,14%,11%,12%,9%,11%,10%,6%,7%,20%,18%,14%,8%,18%
,Don't know,4%,2%,2%,3%,3%,-,4%,4%,4%,5%,4%,4%,2%,7%,6%,5%,1%,5%,4%,1%,4%,6%,3%,5%,7%,6%,4%,4%,3%,3%,3%,2%,7%,3%,1%,1%,3%,2%,7%,4%,3%,4%,4%,6%
,GOOD,69%,77%,63%,81%,82%,86%,78%,74%,71%,75%,74%,66%,74%,67%,62%,63%,70%,73%,67%,71%,64%,74%,74%,68%,60%,65%,83%,70%,70%,76%,79%,60%,64%,66%,79%,76%,75%,79%,78%,52%,66%,64%,69%,59%
,POOR,27%,21%,35%,16%,15%,14%,18%,22%,25%,20%,21%,30%,25%,26%,32%,32%,29%,22%,29%,28%,32%,21%,23%,27%,33%,29%,13%,26%,27%,21%,18%,38%,29%,31%,20%,23%,22%,19%,16%,44%,31%,33%,28%,35%
,NET GOOD,42%,56%,28%,65%,68%,71%,60%,52%,47%,55%,53%,36%,49%,41%,30%,31%,40%,51%,39%,44%,32%,53%,52%,41%,26%,36%,71%,45%,44%,56%,61%,22%,34%,36%,59%,53%,53%,60%,62%,9%,34%,31%,41%,24%

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
Q.8.,"It is the responsibility of the police, local council and other public services working in partnership to deal with anti-social behaviour in your local area. How much would you agree or disagree that they are dealing with the anti-social behaviour issues that matter in this area?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Strongly agree,17%,22%,13%,26%,16%,14%,27%,16%,16%,15%,19%,18%,21%,12%,16%,16%,15%,17%,16%,16%,21%,23%,18%,17%,17%,21%,22%,16%,18%,19%,19%,21%,17%,17%,18%,17%,17%,18%,16%,10%,21%,15%,19%,17%
,Tend to agree,36%,43%,30%,41%,46%,71%,42%,42%,40%,36%,43%,42%,31%,30%,38%,34%,31%,30%,32%,40%,26%,37%,31%,32%,30%,29%,33%,43%,40%,31%,40%,32%,37%,33%,39%,44%,39%,41%,44%,31%,32%,37%,35%,31%
,Neither agree nor disagree,10%,6%,15%,7%,11%,-,12%,10%,12%,12%,10%,5%,7%,17%,8%,10%,9%,15%,10%,9%,7%,9%,9%,12%,11%,12%,14%,6%,11%,10%,12%,6%,9%,6%,13%,11%,12%,13%,11%,13%,7%,9%,11%,12%
,Tend to disagree,15%,12%,23%,16%,12%,-,5%,10%,12%,18%,8%,14%,15%,23%,16%,16%,19%,14%,19%,11%,18%,18%,20%,17%,16%,18%,17%,14%,8%,19%,12%,17%,15%,18%,13%,10%,17%,13%,11%,19%,13%,15%,16%,18%
,Strongly disagree,18%,14%,16%,8%,12%,14%,14%,16%,19%,10%,18%,20%,21%,17%,18%,21%,25%,22%,19%,23%,25%,12%,17%,17%,21%,19%,13%,18%,16%,19%,16%,22%,16%,24%,12%,16%,12%,11%,14%,25%,25%,21%,17%,18%
,Don't know,3%,3%,2%,2%,4%,-,1%,6%,1%,9%,3%,1%,6%,1%,4%,3%,1%,3%,5%,2%,3%,2%,4%,5%,6%,1%,2%,4%,8%,3%,2%,3%,7%,3%,4%,3%,4%,5%,6%,3%,2%,3%,2%,3%
,AGREE,53%,65%,44%,67%,62%,86%,68%,58%,56%,51%,62%,60%,52%,42%,54%,49%,46%,47%,48%,55%,47%,60%,49%,49%,47%,50%,55%,58%,57%,50%,58%,53%,54%,50%,57%,60%,55%,58%,59%,41%,53%,52%,53%,49%
,DISAGREE,33%,26%,39%,24%,24%,14%,19%,26%,31%,28%,26%,34%,35%,40%,34%,37%,44%,36%,38%,34%,43%,29%,38%,35%,37%,37%,29%,32%,24%,37%,28%,39%,30%,42%,26%,26%,29%,24%,24%,44%,38%,36%,33%,37%
,NET AGREE,20%,39%,5%,43%,38%,71%,50%,31%,25%,23%,36%,26%,17%,2%,20%,12%,3%,11%,10%,22%,4%,30%,12%,14%,10%,13%,26%,27%,34%,13%,31%,14%,24%,8%,31%,35%,27%,35%,35%,-3%,15%,16%,20%,12%

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
Q.9.,"Thinking back over the past 12 months, would you say there is now more anti-social behaviour in your local area, less anti-social behaviour, or about the same amount than there was a year ago?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,More anti-social behaviour,29%,22%,34%,29%,20%,57%,27%,28%,30%,32%,28%,34%,32%,36%,27%,29%,35%,24%,37%,28%,30%,28%,21%,21%,34%,35%,24%,26%,29%,23%,28%,28%,25%,32%,30%,24%,29%,25%,27%,29%,25%,34%,32%,32%
,Less anti-social behaviour,22%,25%,14%,20%,25%,14%,25%,20%,28%,25%,21%,22%,14%,18%,15%,23%,15%,28%,16%,28%,20%,21%,23%,20%,18%,27%,24%,18%,19%,25%,28%,29%,24%,22%,24%,23%,17%,22%,23%,29%,19%,19%,22%,18%
,About the same amount,47%,50%,50%,51%,54%,29%,49%,51%,41%,37%,47%,44%,52%,45%,56%,46%,49%,47%,46%,43%,47%,48%,54%,56%,46%,37%,49%,55%,50%,50%,43%,42%,49%,47%,45%,53%,52%,50%,48%,40%,52%,46%,44%,47%
,Don't know,2%,3%,2%,-,2%,-,-,1%,1%,6%,4%,-,2%,2%,2%,2%,1%,2%,2%,2%,3%,3%,2%,2%,2%,1%,3%,1%,3%,2%,2%,1%,3%,-,2%,-,2%,3%,2%,3%,4%,2%,2%,3%
,NET MORE ASB,8%,-3%,20%,9%,-5%,43%,2%,8%,2%,7%,6%,12%,19%,18%,12%,6%,20%,-4%,21%,0%,10%,8%,-2%,1%,16%,8%,0%,8%,10%,-3%,0%,-2%,1%,10%,6%,1%,12%,3%,4%,0%,6%,15%,10%,14%

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
Q.10.,"And would you say that local public services have got better or worse at tackling anti-social behaviour in your area in the last 12 months, or have they not changed?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Better,23%,25%,22%,20%,26%,14%,35%,20%,24%,25%,22%,28%,19%,16%,21%,23%,23%,23%,21%,27%,16%,25%,22%,22%,20%,29%,27%,24%,22%,31%,28%,33%,19%,22%,28%,19%,23%,27%,24%,27%,21%,24%,24%,17%
,Stayed the same,59%,55%,65%,66%,65%,71%,50%,62%,60%,52%,58%,54%,62%,68%,62%,60%,58%,58%,57%,57%,61%,62%,64%,66%,58%,51%,55%,54%,65%,51%,52%,49%,60%,60%,63%,69%,59%,52%,59%,56%,56%,57%,58%,61%
,Worse,12%,13%,11%,7%,5%,14%,10%,11%,12%,16%,11%,15%,11%,13%,11%,13%,17%,13%,14%,13%,15%,8%,9%,8%,15%,18%,6%,13%,8%,12%,10%,14%,13%,14%,8%,7%,8%,11%,7%,12%,16%,12%,13%,18%
,Don't know,6%,7%,2%,7%,4%,-,5%,6%,4%,7%,9%,3%,9%,3%,6%,4%,2%,6%,8%,3%,8%,5%,5%,4%,7%,2%,12%,9%,5%,6%,10%,4%,9%,4%,2%,5%,10%,10%,10%,5%,7%,8%,5%,3%
,NET BETTER,11%,12%,10%,13%,22%,0%,25%,9%,12%,9%,12%,13%,8%,3%,10%,10%,6%,10%,7%,14%,1%,18%,13%,15%,5%,11%,21%,11%,14%,20%,18%,19%,6%,8%,20%,12%,15%,16%,17%,15%,5%,11%,11%,-1%

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
Q.11.,What types of anti-social behaviour have you been thinking about when answering the last few questions?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Street drinking/drunken behaviour/under age drinking/youths drinking,30%,42%,26%,32%,34%,43%,39%,33%,32%,29%,42%,33%,30%,28%,33%,28%,33%,33%,33%,32%,35%,32%,27%,30%,21%,26%,22%,47%,29%,23%,45%,31%,25%,30%,33%,26%,24%,32%,28%,33%,27%,24%,29%,23%
,Youths/teenagers/groups/ gangs loitering on the streets,29%,36%,30%,26%,27%,14%,46%,21%,37%,21%,22%,35%,25%,36%,24%,33%,24%,14%,28%,24%,24%,35%,35%,22%,32%,38%,22%,32%,32%,31%,29%,28%,26%,27%,30%,19%,26%,18%,21%,34%,25%,30%,32%,19%
,Vandalism/graffiti,25%,27%,23%,35%,20%,-,24%,24%,24%,35%,23%,25%,25%,23%,22%,25%,26%,25%,28%,30%,23%,25%,32%,18%,21%,20%,21%,36%,21%,33%,24%,24%,21%,27%,24%,29%,29%,18%,20%,35%,20%,28%,23%,28%
,Rowdy or inconsiderate behaviour,23%,36%,19%,22%,22%,29%,24%,25%,24%,25%,25%,23%,24%,17%,31%,21%,25%,29%,23%,25%,29%,25%,23%,27%,20%,17%,25%,27%,25%,27%,18%,21%,22%,15%,31%,19%,24%,30%,26%,24%,23%,22%,20%,26%
,Noise/loud music,21%,34%,24%,24%,19%,43%,12%,19%,15%,23%,26%,16%,25%,30%,19%,13%,19%,23%,23%,18%,33%,25%,20%,21%,26%,17%,20%,24%,17%,24%,14%,16%,27%,13%,25%,22%,24%,17%,28%,28%,20%,21%,17%,20%
,Using/dealing drugs,13%,17%,12%,6%,13%,-,14%,12%,12%,13%,14%,7%,12%,10%,9%,16%,15%,12%,8%,9%,14%,16%,12%,13%,19%,13%,10%,14%,11%,5%,13%,13%,14%,18%,12%,10%,15%,8%,17%,12%,17%,19%,11%,14%
,Intimidation/threats/ harassment,11%,6%,10%,8%,7%,14%,13%,11%,12%,5%,6%,19%,8%,12%,8%,13%,13%,9%,12%,15%,12%,6%,13%,9%,14%,12%,13%,8%,9%,13%,15%,11%,14%,15%,11%,6%,6%,9%,10%,16%,10%,11%,13%,15%
,Verbal abuse/abusive behaviour,11%,9%,9%,12%,10%,-,13%,8%,10%,13%,13%,17%,5%,17%,4%,14%,13%,11%,10%,9%,11%,16%,4%,13%,6%,13%,6%,8%,12%,13%,11%,13%,14%,16%,17%,9%,8%,13%,6%,15%,14%,11%,11%,10%
,Assault/violence/ fighting,10%,8%,15%,11%,4%,14%,9%,11%,9%,12%,11%,7%,8%,16%,10%,8%,9%,11%,10%,11%,9%,10%,9%,11%,15%,11%,9%,13%,5%,6%,9%,4%,13%,15%,9%,9%,10%,10%,7%,12%,8%,12%,7%,9%
,Nuisance neighbours,10%,8%,10%,9%,13%,-,4%,6%,7%,11%,10%,9%,10%,7%,5%,14%,10%,8%,12%,13%,7%,16%,9%,7%,11%,11%,10%,6%,8%,5%,10%,4%,11%,11%,8%,7%,9%,13%,17%,13%,11%,10%,10%,9%
,Theft/burglary/break-ins,9%,8%,13%,10%,7%,-,9%,6%,12%,8%,7%,4%,8%,11%,6%,14%,15%,15%,3%,12%,6%,6%,6%,9%,15%,8%,11%,10%,13%,7%,6%,10%,7%,11%,4%,6%,7%,9%,7%,8%,6%,8%,12%,6%
,Throwing stones/glass/ cans/eggs/objects,9%,1%,9%,9%,10%,-,6%,11%,9%,5%,10%,9%,8%,7%,8%,10%,10%,13%,8%,13%,7%,10%,9%,11%,5%,17%,8%,4%,3%,9%,10%,13%,13%,17%,10%,7%,4%,3%,7%,11%,10%,13%,14%,16%
,Youths/teenagers (unspecified),9%,7%,8%,6%,6%,14%,5%,13%,5%,9%,4%,8%,7%,14%,15%,11%,7%,11%,7%,10%,7%,11%,8%,7%,7%,10%,8%,10%,9%,7%,10%,9%,5%,8%,7%,8%,6%,9%,6%,6%,8%,10%,13%,11%
,Motor cycle/cycle nuisance/speeding/riding on pavements,8%,5%,12%,4%,10%,-,11%,6%,9%,1%,7%,4%,6%,10%,8%,7%,12%,13%,8%,12%,9%,10%,10%,7%,3%,12%,5%,1%,10%,8%,6%,12%,8%,6%,7%,5%,8%,4%,11%,13%,7%,8%,11%,6%
,Vehicle damage,8%,4%,9%,8%,6%,-,9%,8%,8%,11%,9%,5%,8%,12%,10%,9%,11%,5%,10%,8%,9%,11%,7%,12%,7%,8%,5%,7%,7%,7%,8%,6%,8%,10%,6%,6%,4%,6%,8%,7%,5%,6%,6%,11%
,Littering,7%,8%,8%,9%,8%,-,4%,8%,8%,5%,10%,9%,9%,11%,13%,9%,3%,5%,6%,5%,8%,8%,15%,5%,6%,4%,5%,8%,8%,6%,7%,9%,9%,4%,10%,8%,11%,7%,6%,3%,10%,7%,7%,12%
,Bad language/swearing,7%,8%,6%,7%,7%,14%,2%,4%,9%,7%,9%,7%,10%,7%,10%,5%,7%,5%,6%,5%,7%,6%,8%,8%,3%,7%,5%,8%,7%,11%,6%,3%,13%,9%,14%,11%,10%,6%,5%,8%,7%,6%,6%,9%
,Vehicle nuisance/ speeding/revving/boy racers,5%,10%,4%,7%,2%,-,3%,6%,6%,4%,11%,2%,10%,7%,8%,2%,5%,6%,2%,1%,12%,5%,6%,6%,4%,3%,6%,8%,6%,4%,1%,5%,5%,5%,7%,11%,11%,7%,6%,8%,8%,5%,6%,7%
,Criminal damage,4%,2%,1%,5%,7%,-,-,3%,2%,6%,4%,3%,6%,4%,8%,6%,5%,5%,5%,4%,4%,4%,4%,5%,2%,6%,3%,1%,4%,4%,3%,5%,2%,6%,4%,2%,3%,3%,2%,5%,4%,3%,3%,2%
,Youths kicking/throwing balls/playing football,4%,3%,3%,1%,3%,-,6%,6%,4%,3%,2%,6%,2%,7%,3%,4%,3%,2%,3%,4%,6%,3%,3%,4%,2%,6%,3%,4%,2%,3%,3%,8%,4%,5%,4%,4%,-,4%,4%,3%,3%,4%,4%,1%
,Arson/setting fires/ fireworks,3%,3%,3%,3%,3%,-,8%,3%,2%,3%,5%,1%,3%,2%,5%,4%,7%,5%,4%,1%,2%,1%,3%,1%,2%,6%,7%,2%,-,4%,5%,6%,3%,7%,5%,1%,7%,4%,3%,4%,3%,3%,4%,2%
,Trespassing,3%,3%,-,-,3%,14%,2%,6%,2%,3%,-,4%,3%,2%,3%,3%,1%,2%,1%,2%,2%,4%,3%,2%,3%,4%,4%,5%,9%,4%,2%,6%,2%,4%,3%,1%,3%,3%,-,6%,4%,3%,3%,3%
,Lack of respect,3%,-,4%,2%,3%,-,3%,1%,3%,2%,1%,2%,1%,3%,2%,3%,3%,2%,1%,1%,3%,2%,1%,6%,3%,-,4%,5%,3%,5%,3%,6%,6%,1%,3%,5%,4%,3%,4%,1%,6%,3%,2%,2%
,Urinating/spitting,2%,2%,2%,4%,3%,-,1%,-,4%,2%,1%,1%,2%,6%,3%,1%,2%,2%,3%,-,-,6%,5%,4%,5%,2%,3%,3%,2%,3%,2%,1%,2%,2%,4%,-,4%,3%,2%,4%,-,2%,2%,-
,Parking,2%,1%,1%,1%,3%,-,1%,-,2%,8%,2%,1%,2%,3%,1%,2%,4%,1%,4%,2%,1%,2%,4%,2%,1%,-,4%,1%,-,1%,3%,1%,8%,4%,4%,2%,3%,5%,5%,2%,2%,2%,2%,4%
,Breaking glass/smashing bottles,2%,3%,2%,3%,4%,14%,6%,1%,2%,1%,2%,3%,2%,3%,1%,2%,1%,-,1%,-,2%,4%,3%,-,1%,1%,2%,3%,3%,-,2%,2%,1%,-,3%,1%,3%,1%,3%,2%,1%,1%,1%,2%
,Out of control dogs/ barking dogs,2%,1%,2%,-,1%,-,-,1%,4%,2%,2%,-,2%,-,2%,2%,1%,3%,2%,2%,1%,4%,1%,1%,3%,1%,2%,2%,3%,-,-,3%,2%,1%,1%,2%,2%,2%,3%,-,3%,2%,1%,3%
,Bullying,1%,-,2%,1%,-,-,3%,3%,2%,3%,1%,2%,2%,1%,-,2%,1%,2%,1%,2%,1%,1%,1%,5%,1%,1%,-,-,-,2%,2%,2%,-,2%,2%,-,-,1%,-,1%,4%,*,1%,3%
,Racial abuse/racism,1%,-,1%,1%,1%,-,-,1%,1%,-,1%,-,-,-,1%,3%,1%,-,1%,2%,4%,1%,1%,1%,2%,-,-,-,-,1%,3%,2%,1%,2%,3%,1%,1%,2%,1%,-,-,1%,3%,-
,Dog fouling,1%,3%,1%,-,2%,-,1%,3%,2%,-,-,2%,-,-,2%,1%,2%,1%,-,1%,3%,-,2%,1%,1%,2%,1%,3%,2%,1%,1%,-,2%,1%,1%,-,3%,1%,1%,-,-,1%,1%,2%
,Aggressive behaviour,1%,1%,5%,2%,1%,-,-,-,2%,1%,3%,-,1%,1%,-,*,-,1%,2%,3%,3%,-,1%,2%,3%,2%,-,1%,-,2%,1%,2%,-,1%,1%,-,1%,1%,-,2%,2%,1%,1%,-
,Smoking,1%,2%,-,-,2%,-,2%,1%,1%,1%,4%,1%,-,2%,1%,1%,1%,-,1%,-,3%,1%,2%,1%,1%,1%,-,-,-,1%,3%,-,1%,1%,-,-,1%,1%,-,1%,3%,2%,1%,-
,Stabbings/shootings/ murders,1%,-,-,-,-,-,-,-,-,-,1%,-,-,1%,2%,3%,-,1%,2%,2%,2%,2%,-,-,3%,2%,-,1%,-,-,2%,-,-,2%,-,-,1%,1%,1%,-,-,*,1%,1%
,Lack of parental control,1%,-,1%,1%,1%,-,4%,-,2%,-,1%,1%,1%,1%,-,1%,-,1%,1%,-,3%,1%,1%,1%,*,1%,-,1%,1%,-,5%,-,1%,1%,2%,2%,-,-,1%,2%,-,1%,-,2%
,Fly tipping,1%,-,-,1%,-,-,-,1%,4%,-,-,-,2%,1%,3%,*,-,1%,2%,-,2%,-,2%,-,1%,1%,-,-,1%,1%,-,1%,-,1%,-,1%,5%,-,-,1%,4%,*,*,1%
,Begging/vagrancy/ Problems with homeless people,1%,3%,-,3%,-,14%,-,-,1%,-,3%,-,1%,-,-,-,-,-,1%,-,-,-,-,1%,3%,-,-,1%,1%,-,-,2%,2%,-,-,-,-,1%,1%,1%,1%,1%,*,1%
,Prostitution,1%,-,2%,1%,-,-,1%,-,2%,-,1%,-,-,-,-,*,-,-,-,-,1%,1%,2%,-,3%,-,-,-,-,1%,-,1%,-,1%,-,-,-,-,1%,-,-,1%,1%,-
,Carrying knives/weapons,1%,-,1%,-,1%,14%,2%,-,-,-,1%,-,-,1%,-,*,-,1%,1%,-,1%,1%,1%,1%,2%,-,1%,1%,1%,-,1%,-,2%,-,-,1%,1%,-,-,3%,-,*,*,1%
,Cruelty to animals,1%,-,-,1%,1%,-,-,-,-,1%,-,-,-,1%,-,1%,1%,-,-,-,-,1%,2%,2%,*,1%,1%,1%,2%,-,1%,-,-,3%,-,-,1%,1%,-,2%,1%,*,*,-
,Committing sexual acts,1%,1%,-,1%,-,-,2%,2%,-,-,1%,-,-,1%,1%,-,1%,-,-,-,1%,-,-,1%,2%,-,1%,-,-,-,2%,1%,-,1%,-,-,-,1%,-,1%,-,*,*,-
,Mugging,1%,1%,1%,1%,-,-,-,1%,-,1%,-,-,-,-,-,1%,-,-,2%,-,-,-,1%,-,1%,1%,-,-,1%,-,-,-,-,-,-,-,-,1%,2%,-,-,1%,1%,-
,Motor cyclists without helmets,*,-,-,-,-,-,-,-,1%,-,-,-,-,1%,-,1%,1%,1%,1%,1%,-,1%,1%,-,*,1%,-,-,1%,2%,-,2%,-,-,-,-,-,-,-,1%,-,*,1%,-
,Abandoned vehicles,*,-,-,-,-,-,1%,-,1%,-,1%,-,-,-,-,1%,1%,-,-,1%,1%,-,1%,-,-,-,-,1%,-,-,-,-,-,-,-,1%,-,3%,1%,-,1%,*,*,-
,Problems with gypsies,*,-,-,-,-,-,-,-,1%,-,-,-,1%,1%,-,1%,-,-,-,-,-,-,1%,-,-,-,-,-,1%,-,-,-,-,-,-,-,-,1%,-,1%,2%,-,*,-
,Other,2%,2%,1%,2%,5%,29%,2%,1%,2%,3%,1%,1%,6%,-,1%,2%,2%,-,2%,2%,3%,1%,-,2%,2%,-,4%,1%,2%,3%,3%,2%,-,2%,1%,3%,-,3%,-,1%,2%,1%,1%,6%
,Nothing/ none,1%,-,1%,1%,2%,-,-,-,-,-,1%,1%,1%,1%,-,1%,1%,-,-,-,-,-,1%,2%,*,-,1%,1%,2%,1%,1%,2%,-,-,-,-,-,1%,-,-,1%,*,1%,1%
,Don't know,1%,1%,-,2%,1%,-,-,1%,1%,2%,1%,-,-,-,-,2%,1%,1%,2%,2%,1%,2%,1%,1%,1%,1%,3%,1%,-,2%,-,-,-,2%,2%,2%,4%,1%,1%,1%,1%,1%,1%,-
,No answer,1%,1%,3%,3%,-,-,2%,3%,1%,3%,-,1%,-,1%,1%,1%,5%,-,2%,2%,-,1%,2%,1%,2%,1%,1%,-,2%,2%,-,1%,1%,2%,-,2%,4%,3%,-,-,3%,1%,1%,1%

,Base: All who have called the police in past year,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
Q.12.,How well informed do you feel about what is being done by local public services to tackle anti-social behaviour in your area? Would you say you feel ...?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Very well informed,12%,14%,12%,15%,8%,43%,20%,13%,12%,10%,13%,12%,15%,10%,8%,12%,11%,4%,12%,8%,10%,13%,13%,4%,10%,16%,14%,13%,17%,18%,14%,9%,8%,6%,15%,4%,13%,10%,12%,10%,17%,10%,12%,14%
,Fairly well informed,29%,28%,28%,33%,39%,29%,32%,28%,29%,35%,29%,35%,29%,22%,27%,24%,29%,26%,25%,38%,37%,29%,27%,27%,26%,25%,35%,28%,24%,25%,37%,28%,25%,29%,33%,32%,33%,38%,31%,19%,20%,25%,30%,28%
,Not very informed,31%,29%,30%,32%,22%,29%,25%,29%,31%,24%,32%,27%,27%,38%,33%,29%,31%,37%,27%,27%,28%,29%,29%,34%,30%,31%,27%,28%,30%,35%,30%,34%,30%,34%,26%,39%,30%,29%,37%,33%,32%,34%,31%,28%
,Not at all informed,28%,27%,29%,19%,29%,-,24%,28%,27%,29%,25%,24%,26%,28%,31%,34%,29%,33%,36%,27%,24%,27%,30%,32%,32%,28%,23%,30%,28%,23%,19%,28%,34%,32%,25%,25%,25%,23%,17%,38%,27%,31%,25%,29%
,Don't know,1%,2%,1%,1%,2%,-,-,1%,1%,2%,1%,2%,2%,1%,1%,*,-,1%,1%,1%,1%,1%,-,3%,1%,-,1%,2%,2%,-,1%,1%,2%,-,1%,1%,-,1%,3%,1%,4%,*,1%,1%
,INFORMED,40%,42%,40%,48%,47%,71%,51%,42%,41%,45%,42%,47%,44%,33%,35%,36%,40%,30%,37%,46%,47%,42%,41%,31%,36%,41%,49%,41%,41%,42%,50%,38%,33%,35%,49%,36%,46%,48%,43%,29%,37%,35%,42%,42%
,NOT INFORMED,59%,56%,59%,51%,51%,29%,49%,57%,58%,53%,57%,51%,54%,66%,64%,64%,60%,69%,62%,53%,52%,57%,59%,66%,62%,59%,50%,57%,57%,58%,49%,61%,65%,65%,50%,63%,54%,51%,54%,70%,59%,64%,56%,57%
,NET INFORMED,-19%,-14%,-19%,-3%,-4%,43%,3%,-16%,-17%,-8%,-15%,-4%,-10%,-34%,-29%,-28%,-21%,-40%,-26%,-8%,-5%,-15%,-19%,-35%,-26%,-18%,-2%,-17%,-17%,-16%,2%,-23%,-31%,-31%,-2%,-28%,-9%,-4%,-12%,-42%,-22%,-29%,-14%,-16%

,Base: All who have called the police in past year,5496,97,103,98,99,7,96,152,157,97,102,94,100,105,99,369,147,93,98,99,95,94,123,100,398,97,98,94,94,100,95,110,98,98,104,101,97,98,103,99,100,391,398,99
Q.13.,"Approximately, how many times over the past year have you called the police to report anti-social behaviour?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Once,29%,38%,35%,29%,37%,29%,26%,33%,24%,30%,37%,26%,29%,36%,25%,25%,24%,30%,26%,20%,31%,29%,34%,34%,29%,18%,33%,33%,28%,24%,31%,27%,42%,22%,17%,37%,40%,41%,36%,17%,30%,26%,29%,35%
,Twice,17%,10%,17%,19%,9%,14%,14%,13%,18%,18%,18%,16%,18%,14%,28%,15%,14%,16%,17%,20%,19%,14%,17%,16%,20%,19%,16%,16%,16%,17%,12%,11%,11%,23%,17%,22%,16%,16%,20%,14%,20%,18%,16%,19%
,3 times,12%,7%,15%,9%,11%,-,8%,15%,11%,12%,15%,10%,13%,9%,12%,14%,14%,13%,10%,12%,15%,13%,16%,11%,10%,9%,13%,13%,15%,6%,13%,11%,10%,9%,12%,9%,12%,12%,17%,15%,8%,13%,12%,10%
,4 times,7%,11%,8%,7%,8%,14%,8%,5%,8%,11%,6%,4%,9%,9%,7%,8%,8%,8%,8%,5%,7%,7%,6%,11%,5%,10%,8%,7%,4%,12%,7%,8%,7%,5%,10%,9%,4%,6%,6%,12%,10%,6%,10%,2%
